nombre,precio,descripcion,reviews,calificacion
IdeaTab S5000,172.99,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",8,3
Dell Inspiron 17 2in1 (7779) Silver,1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",10,3
ThinkPad Yoga,1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13,2
Acer Iconia,96.99,"7"" screen, Android, 16GB",7,1
Nokia 123,24.99,7 day battery,11,3
Asus VivoBook S14,729.0,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2,1
Asus ROG STRIX GL553VD-DM256,799.0,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7,2
Acer Nitro 5 AN515-51,809.0,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0,1
Iphone,899.99,Black,1,1
Lenovo V510 Black,498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",5,3
Toshiba Portege X20W-D-10V Black/Blue,1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",11,1
Asus ASUSPRO B9440UA-GV0279R Gray,1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",4,1
Asus VivoBook 15 X540NA-GQ026T,410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,4
Galaxy Tab 4,233.99,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",1,4
Lenovo Legion Y520-15IKBM,1149.0,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11,3
Toshiba Portege Z30-C-16L Grey,1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",7,1
Iphone,899.99,White,10,1
Asus ROG Strix GL702ZC-GC209T,1769.0,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",8,1
Iconia B1-730HD,99.99,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",1,3
Ubuntu Edge,499.99,Sapphire glass,2,1
Toshiba Portege X30-D-10J Black/Blue,1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",13,4
HP 350 G1,577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10,2
Toshiba Portege Z30-C-16J Grey,1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",0,1
Galaxy Tab 3,97.99,"7"", 8GB, Wi-Fi, Android 4.2, White",2,2
Galaxy Note 10.1,587.99,"10.1"", 32GB, Black",6,2
Lenovo V110-15ISK,454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2,2
Asus MeMO Pad,102.99,"7"" screen, Android, 8GB",14,4
MSI GL62VR 7RFX,1299.0,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",1,3
LG Optimus,57.99,"3.2"" screen",11,3
ThinkPad T540p,1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2,1
Pavilion,609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4,1
Dell Vostro 15 (3568) Red,497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",9,1
Asus ROG Strix GL702ZC-GC154T,1769.0,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7,4
